method,vs,ic_diff,nw_t
ic_weight,naive_averaged,-0.00351547336379581,-2.422145948439933
pca_pc1,naive_averaged,-0.002501217599521778,-1.4748208565313037
uniqueness_reg,naive_averaged,-0.007632484359740103,-2.3648628867984653
eb_weight,naive_averaged,0.00013225622128777175,1.139159171833328
cluster_eq,naive_averaged,0.0007144838587873786,0.2190399811349081
cluster_eb,naive_averaged,0.0007144838587873786,0.2190399811349081
uniqueness_tuned,naive_averaged,-0.011693195323525734,-2.9307691553548723
ridge_tuned,naive_averaged,-0.011821771616831067,-2.81488140931658
pls_tuned,naive_averaged,-0.007507215941780618,-1.8997418133331847
cluster_eq_tuned,naive_averaged,-0.000024767089707280065,-0.008626868515051513
cluster_ic_tuned,naive_averaged,-0.002405684730631663,-0.638423128350391
