k,oof_ic
1.0,0.018811105813579237
2.0,0.017624289998325514
3.0,0.016468180395722797
4.0,0.015541751193509238
5.0,0.014100320498673763
6.0,0.013992026858418816
7.0,0.014472144317060797
8.0,0.014647574229180522
