method,vs,ic_diff,nw_t
ic_weight,naive_averaged,-0.0016616032162964694,-1.0008020979175591
pca_pc1,naive_averaged,0.0000532762773140513,0.28500331288372643
uniqueness_reg,naive_averaged,-0.001073396307328047,-0.45250427156220235
eb_weight,naive_averaged,-0.000029656405759460593,-1.6083711973953854
cluster_eq,naive_averaged,-0.000029660641449718463,-1.6085668955870016
cluster_eb,naive_averaged,-0.000029660641449718463,-1.6085668955870016
uniqueness_tuned,naive_averaged,0.002021576885007927,0.48058634464608707
ridge_tuned,naive_averaged,0.0016305162654084997,0.378115220032145
pls_tuned,naive_averaged,0.002180735277233281,0.4574165320707942
cluster_eq_tuned,naive_averaged,0.00003828763149233507,0.10814552737797507
cluster_ic_tuned,naive_averaged,-0.002105887967501174,-1.3989454512164237
