method,cv_mean_ic,cv_ic_std,worst_fold
pls_tuned,0.01463389234194648,0.00903243982472558,0.0012378631844133282
uniqueness_tuned,0.014474733949721125,0.00857088288826427,0.0025140058975070744
ridge_tuned,0.014083673330121699,0.009393817565751108,0.0014164739552560124
pca_pc1,0.012506433342027251,0.013124911164861282,-0.003470683864016848
cluster_eq_tuned,0.012491444696205533,0.013390978438377147,-0.0039357425696726085
naive_averaged,0.0124531570647132,0.013416002502256467,-0.0035106437965290445
eb_weight,0.01242350065895374,0.013437717858077888,-0.0035698154584247847
cluster_eq,0.01242349642326348,0.01343771327261894,-0.0035698154584247847
cluster_eb,0.01242349642326348,0.01343771327261894,-0.0035698154584247847
uniqueness_reg,0.011379760757385154,0.010684453645583484,-0.0006076455274895922
ic_weight,0.01079155384841673,0.01186744295666433,-0.0027011805275555007
cluster_ic_tuned,0.010347269097212026,0.01116741012059218,-0.003141997904619476
