method,cv_mean_ic,cv_ic_std,worst_fold
cluster_ic_tuned,0.02006514690683007,0.008375286789639745,0.008051990920710203
ic_weight,0.01975661317778048,0.009894011465023176,0.006856509759514113
cluster_eb,0.01971701357712006,0.008818775939483275,0.007503612384305097
cluster_eq,0.01934271488499683,0.009481773664185627,0.00668981923412124
cluster_eq_tuned,0.01934271488499683,0.009481773664185627,0.00668981923412124
uniqueness_reg,0.018647557572765844,0.009589831724420085,0.006015961806239602
eb_weight,0.018300877838982283,0.010104315368267044,0.006222994149865212
uniqueness_tuned,0.017386867321110732,0.006740148437062155,0.00682503378233504
naive_averaged,0.016503520692518446,0.010851326903727797,0.0049808169074453965
pls_tuned,0.016324624592248583,0.0070665711613854135,0.0055084286068761866
ridge_tuned,0.016032910941429362,0.006909249424122861,0.005468518349258444
pca_pc1,0.0033482576092296067,0.009071855662057919,-0.00565808384147478
