method,vs,ic_diff,nw_t
ic_weight,naive_averaged,0.003253092485262029,1.818135501520151
pca_pc1,naive_averaged,-0.013155263083288843,-3.1127514971457835
uniqueness_reg,naive_averaged,0.0021440368802473943,1.0268497389039772
eb_weight,naive_averaged,0.0017973571464638327,1.633049459119066
cluster_eq,naive_averaged,0.0028391941924783767,2.257347476200098
cluster_eb,naive_averaged,0.003213492884601608,1.8235259773416466
uniqueness_tuned,naive_averaged,0.0008833466285922818,0.4300023222199284
ridge_tuned,naive_averaged,-0.0004706097510890893,-0.24361174169669791
pls_tuned,naive_averaged,-0.0001788961002698688,-0.08432509312060321
cluster_eq_tuned,naive_averaged,0.0028391941924783767,2.257347476200098
cluster_ic_tuned,naive_averaged,0.0035616262143116193,1.6331514208023545
