method,cv_mean_ic,cv_ic_std,worst_fold
cluster_eq_tuned,0.031401810499321246,0.0099076311304875,0.02088181568496772
cluster_ic_tuned,0.03121847130364102,0.010099986712908257,0.01995247014154881
naive_averaged,0.030960986928480438,0.010413551963717231,0.019720655435899462
eb_weight,0.030947850509438924,0.010418965660297404,0.019698981320947665
ic_weight,0.030868524482610276,0.010420559893897811,0.01897167646683065
ridge_tuned,0.030820187930731286,0.010436337397197985,0.019443093808106597
pls_tuned,0.03081642293511195,0.010454576541765348,0.01936656604055937
cluster_eq,0.030765986195034633,0.010500186655384847,0.0187822307109512
cluster_eb,0.030764956809019688,0.010499472131318074,0.0187822307109512
uniqueness_reg,0.030606999690782077,0.009117652503536071,0.020806914566735522
pca_pc1,0.03054362821643352,0.010670357026749342,0.017933351607419424
uniqueness_tuned,0.028709862812222785,0.007051616822473494,0.020642900665581883
