method,vs,ic_diff,nw_t
ic_weight,naive_averaged,-0.00009246244587016419,-0.24512259050785323
pca_pc1,naive_averaged,-0.0004173587120469148,-1.112510688817463
uniqueness_reg,naive_averaged,-0.0003539872376983579,-0.21670275679525652
eb_weight,naive_averaged,-0.000013136419041516312,-1.5688571137112581
cluster_eq,naive_averaged,-0.00019500073344581,-0.6881858827076102
cluster_eb,naive_averaged,-0.0001960301194607504,-0.6943458425048062
uniqueness_tuned,naive_averaged,-0.002251124116257654,-0.903997415764306
ridge_tuned,naive_averaged,-0.0001407989977491541,-0.2886682726777002
pls_tuned,naive_averaged,-0.00014456399336848863,-0.32078832199432145
cluster_eq_tuned,naive_averaged,0.00044082357084080726,1.5506828362090872
cluster_ic_tuned,naive_averaged,0.0002574843751605814,0.5106048492292037
